service_slug,service_name,hours_low,hours_high,mobile_viable,confidence,source_note
oil-change-conventional,Oil & Filter Change (conventional),0.3,0.7,yes,high,"Universally quoted 0.3-0.5 book; upper bound covers skid plates/underbody panels. Trade consensus."
oil-change-synthetic,Oil & Filter Change (full synthetic),0.3,0.8,yes,high,"Same operation as conventional; parts cost differs not labor. Trade consensus."
engine-air-filter,Engine Air Filter Replacement,0.2,0.5,yes,high,"Add-on operation; 0.2-0.3 typical, airbox-under-cowl designs push to 0.5."
cabin-air-filter,Cabin Air Filter Replacement,0.2,0.6,yes,high,"Glovebox-access 0.2; under-cowl/under-dash designs 0.5-0.6."
battery-replace,Battery Replacement & Test,0.3,1.2,yes,high,"Underhood 0.3-0.5; under-seat/under-fender/trunk (BMW, Buick, Chrysler) 0.8-1.2 plus BMS registration."
brake-pads-front,Front Brake Pads Only,0.8,1.5,yes,high,"~1.0 hr/axle for pads alone per flat-rate consensus; 1.5 covers seized slides/electronic calipers."
brake-pads-rotors-front,Front Brake Pads & Rotors,1.2,2.0,yes,high,"1.4 hr/axle typical when rotors come off; 1.5 is the most commonly billed number; 1-2 hr/axle range widely reported."
brake-pads-rear,Rear Brake Pads Only,0.8,1.5,yes,high,"Comparable to front; EPB retraction adds time on 2013+ vehicles."
brake-pads-rotors-rear,Rear Brake Pads & Rotors,1.2,2.2,yes,high,"Rear adds parking-brake shoe/EPB actuator handling; upper bound covers integrated drum-in-hat."
brake-caliper-single,Brake Caliper Replacement (one),0.8,1.6,yes,medium,"Includes bleed of that corner; seized bleeder or hard line pushes high."
brake-fluid-flush,Brake Fluid Flush,0.7,1.2,yes,medium,"Pressure or vacuum bleed all four corners; ABS-module scan-tool bleed pushes high."
alternator-replace,Alternator Replacement,1.0,3.5,yes,high,"Book time 1.0-1.5 for accessible inline engines; 3.0-3.5 for transverse V6, AWD packaging, or trucks. Widely corroborated range."
starter-replace,Starter Replacement,1.0,3.0,conditional,medium,"Accessible starters 1.0-1.5; V8 truck/intake-under starters and subframe-access designs 2.5-3.0+ and belong in a shop."
serpentine-belt,Serpentine Belt Replacement,0.5,1.5,yes,medium,"0.5-0.8 with an accessible tensioner; 1.5 where the motor mount or fan shroud must come out."
belt-tensioner,Belt Tensioner / Idler Pulley,0.8,1.8,yes,medium,"Bundled with belt in most guides; access-driven."
water-pump,Water Pump Replacement,2.0,6.0,conditional,high,"2-6 hr typical range; 2.7 hr on a BMW N-series inline six, 5.9 hr on a Duramax LB7. Timing-chain-driven internal pumps (e.g. Ford 3.5/3.7 Cyclone, 15+ hr) must be triaged to a shop."
thermostat,Thermostat Replacement,0.8,2.5,conditional,high,"Most vehicles 1-2 hr; buried/intake-under thermostats to 2.5. Coolant handling and bleed on a driveway is workable but messy."
radiator-replace,Radiator Replacement,1.5,4.0,conditional,high,"1.5-4.0 hr typical; 1.9 hr cited from Mitchell flat rate on a common application. Front-end disassembly designs go to a shop."
coolant-flush,Coolant Flush / Drain & Fill,0.8,1.5,conditional,medium,"Bleeding air out of modern cross-flow systems is the time; disposal of old coolant is a mobile constraint."
radiator-hose,Radiator Hose (upper or lower),0.5,1.5,yes,medium,"Access-driven; includes refill and bleed."
spark-plugs-4cyl,Spark Plugs - 4 Cylinder,0.5,1.2,yes,high,"COP designs 0.5-0.8; 1.2 where the intake or cowl must move."
spark-plugs-v6,Spark Plugs - V6 / V8,1.2,2.8,yes,high,"2.1 hr on a 3.6L V6 including coils; 2.8 hr cited on a 3.6L Camaro. Rear-bank access on transverse V6 is the driver."
ignition-coil-single,Ignition Coil Replacement (single),0.4,1.0,yes,medium,"Front-bank coil 0.4; rear-bank transverse V6 to 1.0."
o2-sensor-single,Oxygen Sensor Replacement (one),0.5,1.5,yes,high,"0.5 hr for an accessible upstream sensor; 1.5 when seized/corroded or downstream under the vehicle. Frequently reported 0.5-1.5."
maf-sensor,Mass Air Flow Sensor,0.3,0.8,yes,medium,"Bolt-on intake-tract part; low variance."
evap-purge-valve,EVAP Purge / Vent Valve,0.4,1.2,yes,low,"Purge valve underhood 0.4; vent valve at the tank/charcoal canister 1.2 and often needs the vehicle raised."
fuel-filter-inline,Fuel Filter (inline / accessible),0.5,1.2,conditional,low,"Only applies to vehicles that still have a serviceable filter; in-tank filter-sock jobs are a fuel-pump job."
fuel-pump-intank,Fuel Pump Replacement (in-tank),1.5,5.0,no,high,"1.5-2.5 easy access via seat/floor panel; 3-5 hr on trucks and dual-pump systems requiring tank drop. Fuel-tank drop on jack stands is a shop job."
wheel-bearing-bolt-on,Wheel Bearing / Hub Assembly (bolt-on),0.7,2.0,yes,high,"0.7-1.5 for a bolt-on hub; corrosion pushes to 2.0. Bolt-on designs are genuinely mobile-friendly."
wheel-bearing-press-in,Wheel Bearing (press-in),2.0,4.0,no,high,"2-4 hr and requires a hydraulic press. Refuse mobile; triage to shop."
struts-front-pair,"Front Strut Assemblies (pair, loaded)",1.5,3.0,conditional,high,"1-1.5 hr/axle with pre-assembled quick struts; 2-3 hr/axle when a spring compressor is needed. 2.8 hr cited for an F-150 pair. Alignment afterward is a shop referral."
shocks-rear-pair,Rear Shocks (pair),0.8,2.0,yes,medium,"Rear shocks are usually two bolts each; rusted hardware is the variance."
control-arm-single,Control Arm Replacement (one),1.5,3.5,conditional,high,"1.0-3.5 hr commonly billed; 1.9 hr cited from a flat-rate guide for an R&R. Requires alignment after."
ball-joint,Ball Joint Replacement (one),1.0,3.0,conditional,medium,"Bolt-in 1.0-1.5; pressed-in 2.5-3.0 and needs a press or ball-joint tool. Alignment after."
tie-rod-end-outer,Outer Tie Rod End (one),0.7,1.5,conditional,medium,"Quick job but mandates an alignment; quote as job + alignment referral."
sway-bar-links,Sway Bar End Links (pair),0.5,1.5,yes,medium,"Very mobile-friendly; seized links with no torch access push high."
cv-axle,CV Axle / Half Shaft (one),1.2,3.0,conditional,medium,"1.2-1.8 on FWD with good access; AWD and trucks higher. Axle-nut torque and hub separation are the constraints without a lift."
ac-evac-recharge,A/C Evacuate & Recharge,1.4,1.8,conditional,high,"MOTOR raised R1234yf evacuate-and-recharge to 1.7 hr from 1.4; Audatex holds 1.8 hr for all passenger refrigerants. Requires a recovery machine - only mobile if the tech carries one."
ac-compressor,A/C Compressor Replacement,2.0,4.5,conditional,medium,"Includes evac/recharge, receiver-drier, and system flush. Refrigerant handling and EPA 609 make this shop-preferred."
valve-cover-gasket,Valve Cover Gasket,1.5,4.0,conditional,low,"Inline 4 at the low end; transverse V6 rear bank at the high end. Torque-sequence sensitive."
pcv-valve,PCV Valve,0.3,1.5,yes,low,"Screw-in valve 0.3; integrated-into-valve-cover designs 1.5."
window-regulator,Window Regulator / Motor,1.0,2.5,yes,medium,"Door-panel-off job, fully doable in a driveway."
door-lock-actuator,Door Lock Actuator,1.0,2.5,yes,low,"Same access class as window regulator."
headlight-assembly,Headlight Bulb / Assembly,0.3,1.5,yes,medium,"Bulb swap 0.3; full assembly requiring bumper-cover removal 1.5."
wiper-motor,Wiper Motor / Linkage,0.8,1.8,yes,low,"Cowl removal is the time."
diagnostic-scan,Diagnostic - Code Scan & Basic Test,0.5,1.0,yes,high,"Industry diagnostic fee $40-150 maps to 0.5-1.0 hr. Credit toward repair by convention."
diagnostic-electrical,Diagnostic - Driveability / Electrical,1.0,2.0,yes,medium,"Advanced diagnostic labor commonly billed at a premium rate ($85-125/hr)."
pre-purchase-inspection,Pre-Purchase / Fleet Inspection,0.8,1.5,yes,medium,"Flat-fee product in most markets; mobile-native."
timing-belt,Timing Belt & Water Pump Service,3.5,8.0,no,medium,"Front-of-engine teardown, engine support, cam timing. Shop only."
transmission-r-and-r,Transmission Removal & Replacement,6.0,14.0,no,high,"Requires a lift and a transmission jack. Universally cited as outside mobile scope."
clutch-replacement,Clutch Replacement,5.0,12.0,no,high,"Transmission must come out. Shop only."
head-gasket,Head Gasket Replacement,8.0,20.0,no,medium,"Machine-shop dependency plus multi-day teardown. Shop only."
catalytic-converter,Catalytic Converter Replacement,1.0,3.0,no,medium,"Often needs cutting/welding and a lift; also emissions-warranty and theft-shield considerations. Triage to shop."
wheel-alignment,Wheel Alignment,1.0,1.5,no,high,"Requires an alignment rack. Always a shop referral - but bundle it as an add-on line on suspension quotes."
tire-mount-balance,Tire Mount & Balance,0.5,1.5,no,high,"Requires a tire machine and balancer; mobile tire vans are a separate supply category."
